aggregated	self	category	text
97.63%	0.00%	1	bf	he is gone
97.63%	0.00%	1	b^m	s i n
97.63%	0.00%	1	b	oh oh well
97.64%	0.00%	1	b^m	okay uh
97.64%	0.00%	1	b^m	my green beans
97.64%	0.00%	1	bd	well i guess
97.64%	0.00%	1	b	but i mean
97.65%	0.00%	1	ba	this is great
97.65%	0.00%	1	ba	such a deal
97.65%	0.00%	1	b^m	every morning
97.65%	0.00%	1	b^m	housekeeper uh-huh
97.65%	0.00%	1	bf	they 're thick
97.66%	0.00%	1	br	pacific science
97.66%	0.00%	1	b^m	about fifteen miles
97.66%	0.00%	1	br	beg pardon
97.66%	0.00%	1	bf	so you have
97.67%	0.00%	1	ba	um boy
97.67%	0.00%	1	bf	some support
97.67%	0.00%	1	b^m	better than nothing
97.67%	0.00%	1	b^m	to do
97.67%	0.00%	1	bk	two
97.68%	0.00%	1	br	about music
97.68%	0.00%	1	b^m	five heartbeats
97.68%	0.00%	1	br	newspapers
97.68%	0.00%	1	ba	it can
97.69%	0.00%	1	ba	i thought wow
97.69%	0.00%	1	ba	wonderful place
97.69%	0.00%	1	b^m	pretty close
97.69%	0.00%	1	ba	wow uh-huh
97.69%	0.00%	1	b	oh yeah mumblex
97.70%	0.00%	1	b	social changes
97.70%	0.00%	1	bf	she 's out
97.70%	0.00%	1	bf	because you
97.70%	0.00%	1	b	right you know
97.71%	0.00%	1	bf	that
97.71%	0.00%	1	b	huh right
97.71%	0.00%	1	ba	how cute
97.71%	0.00%	1	b^m	fish eggs
97.71%	0.00%	1	b^m	uh cathedral ceilings
97.72%	0.00%	1	b	oh okay mumblex
97.72%	0.00%	1	ba	well that
97.72%	0.00%	1	b^m	keeping fish mumblex
97.72%	0.00%	1	b	i
97.73%	0.00%	1	bk	oh are you
97.73%	0.00%	1	b	the twine
97.73%	0.00%	1	b	tahiti
97.73%	0.00%	1	bf	all split
97.73%	0.00%	1	b^m	linda
97.74%	0.00%	1	b	boy
97.74%	0.00%	1	b^m	four weeks
97.74%	0.00%	1	b	huh prime air
97.74%	0.00%	1	bf	catching tree bass
97.75%	0.00%	1	ba	i 'm jealous
97.75%	0.00%	1	ba	eventually right
97.75%	0.00%	1	bf	just then
97.75%	0.00%	1	bf	clarence thomas or
97.75%	0.00%	1	b	so um yeah
97.76%	0.00%	1	br	hot
97.76%	0.00%	1	b^m	scandalous
97.76%	0.00%	1	br	was what
97.76%	0.00%	1	b	huh yes
97.77%	0.00%	1	ba	huh that
97.77%	0.00%	1	b	oh rea-
97.77%	0.00%	1	b	oh i hear
97.77%	0.00%	1	b	okay leslie
97.77%	0.00%	1	b	you know yeah
97.78%	0.00%	1	b	and and yeah
97.78%	0.00%	1	b^m	you are now
97.78%	0.00%	1	ba	um fun
97.78%	0.00%	1	ba	imagine
97.79%	0.00%	1	b^m	jewish
97.79%	0.00%	1	b^m	expedient
97.79%	0.00%	1	bh	does he ooh
97.79%	0.00%	1	ba	yes ma'am
97.80%	0.00%	1	b^m	still
97.80%	0.00%	1	b^m	two living areas
97.80%	0.00%	1	b^m	running water
97.80%	0.00%	1	b	virginia
97.80%	0.00%	1	b^m	dukakis
97.81%	0.00%	1	b	ri-
97.81%	0.00%	1	b^m	twenty-seven
97.81%	0.00%	1	b^m	yet
97.81%	0.00%	1	br	what again
97.82%	0.00%	1	bf	you do it
97.82%	0.00%	1	ba	well gosh
97.82%	0.00%	1	bf	so now
97.82%	0.00%	1	bh	oh does it
97.82%	0.00%	1	ba	oh cute
97.83%	0.00%	1	br	saginaw
97.83%	0.00%	1	bf	have that
97.83%	0.00%	1	b^m	the seville
97.83%	0.00%	1	b^m	rome new york
97.84%	0.00%	1	b	you
97.84%	0.00%	1	b^m	c b s
97.84%	0.00%	1	bf	preparing it
97.84%	0.00%	1	bh	it did huh
97.84%	0.00%	1	ba	um fattening
97.85%	0.00%	1	ba	really bad
97.85%	0.00%	1	ba	oh sweet
97.85%	0.00%	1	b	you know right
97.85%	0.00%	1	b	oh so mumblex
97.86%	0.00%	1	ba	amazing
97.86%	0.00%	1	ba	that gravity factor
97.86%	0.00%	1	b	oh i
97.86%	0.00%	1	ba	oh booey
97.86%	0.00%	1	ba	uh oh no
97.87%	0.00%	1	ba	oh what fun
97.87%	0.00%	1	b	oh uh yeah
97.87%	0.00%	1	br	about weight
97.87%	0.00%	1	b^m	free
97.88%	0.00%	1	b	are you
97.88%	0.00%	1	ba	it 's incredible
97.88%	0.00%	1	bh	is is it
97.88%	0.00%	1	ba	oh you bet
97.88%	0.00%	1	bh	has it
97.89%	0.00%	1	bf	registering our garbage
97.89%	0.00%	1	ba	that is lucky
97.89%	0.00%	1	b^m	ithaca
97.89%	0.00%	1	bf	oh your not
97.90%	0.00%	1	bk	yes
97.90%	0.00%	1	b	oh mumblex yeah
97.90%	0.00%	1	ba	i can
97.90%	0.00%	1	b^m	vehicles
97.90%	0.00%	1	b^m	n- nebraska
97.91%	0.00%	1	ba	my god
97.91%	0.00%	1	b	yay
97.91%	0.00%	1	ba	oh that works
97.91%	0.00%	1	bf	uh natural disease
97.92%	0.00%	1	ba	oh absolutely
97.92%	0.00%	1	b^m	maybe
97.92%	0.00%	1	ba	oh hey
97.92%	0.00%	1	bf	hard
97.92%	0.00%	1	b^m	but um right
97.93%	0.00%	1	bf	to another place
97.93%	0.00%	1	bf	so you
97.93%	0.00%	1	b	oh d-
97.93%	0.00%	1	bf	joe pros
97.94%	0.00%	1	ba	easily
97.94%	0.00%	1	bh	would they
97.94%	0.00%	1	b	mumblex e- right
97.94%	0.00%	1	ba	i know uh
97.94%	0.00%	1	br	say
97.95%	0.00%	1	b^m	the eagles
97.95%	0.00%	1	b^m	a disturbing movie
97.95%	0.00%	1	ba	oh super
97.95%	0.00%	1	b^m	garland
97.96%	0.00%	1	b^m	silverado
97.96%	0.00%	1	bf	pretty low
97.96%	0.00%	1	b	no uh
97.96%	0.00%	1	bh	oh was it
97.96%	0.00%	1	ba	uh
97.97%	0.00%	1	bh	an- oh really
97.97%	0.00%	1	ba	huh interesting
97.97%	0.00%	1	ba	are you really
97.97%	0.00%	1	ba	goll-
97.98%	0.00%	1	ba	oh god oh
97.98%	0.00%	1	br	purple buddy
97.98%	0.00%	1	b	golly
97.98%	0.00%	1	ba	oh golly
97.98%	0.00%	1	bf	and they
97.99%	0.00%	1	b^m	oh knishes
97.99%	0.00%	1	b^m	highlands
97.99%	0.00%	1	b^m	beets
97.99%	0.00%	1	b	so anyway
98.00%	0.00%	1	b^m	twenty thousand
98.00%	0.00%	1	ba	that 's psychedelic
98.00%	0.00%	1	ba	that could work
98.00%	0.00%	1	bh	is it uh
98.00%	0.00%	1	bf	two babies
98.01%	0.00%	1	b^m	grammar
98.01%	0.00%	1	ba	jesus
98.01%	0.00%	1	b	really oh
98.01%	0.00%	1	ba	those are beautiful
98.02%	0.00%	1	ba	it sounds wonderful
98.02%	0.00%	1	b^m	eighteen
98.02%	0.00%	1	bf	cooking chocolate
98.02%	0.00%	1	bf	you say yes
98.02%	0.00%	1	b^m	in germany
98.03%	0.00%	1	ba	no joke
98.03%	0.00%	1	ba	ooh yes
98.03%	0.00%	1	bk	oh se-
98.03%	0.00%	1	b^m	a soprano
98.04%	0.00%	1	b^m	both
98.04%	0.00%	1	bf	pardon
98.04%	0.00%	1	bf	that one person
98.04%	0.00%	1	bh	ooh really
98.04%	0.00%	1	bf	the grass
98.05%	0.00%	1	ba	must be nice
98.05%	0.00%	1	bf	oh chris xeros
98.05%	0.00%	1	ba	it 's funny
98.05%	0.00%	1	ba	of course um
98.06%	0.00%	1	ba	it sounds awful
98.06%	0.00%	1	ba	tell me mumblex
98.06%	0.00%	1	b^m	august moon
98.06%	0.00%	1	b	um i see
98.06%	0.00%	1	ba	it will
98.07%	0.00%	1	b	a hamster
98.07%	0.00%	1	b	um -kay
98.07%	0.00%	1	b^m	lexus
98.07%	0.00%	1	ba	oh how beautiful
98.08%	0.00%	1	b^m	the union
98.08%	0.00%	1	b^m	one child
98.08%	0.00%	1	ba	whoa okay
98.08%	0.00%	1	b	sure uh
98.08%	0.00%	1	b^m	oh north dallas
98.09%	0.00%	1	bh	do they really
98.09%	0.00%	1	b	pardon me
98.09%	0.00%	1	bf	uh into savings
98.09%	0.00%	1	ba	that 's unusual
98.10%	0.00%	1	b^m	salad bar
98.10%	0.00%	1	bk	okay um
98.10%	0.00%	1	ba	that 's odd
98.10%	0.00%	1	b^m	free ice cream
98.10%	0.00%	1	ba	that 's important
98.11%	0.00%	1	b^m	seventy
98.11%	0.00%	1	b	oops
98.11%	0.00%	1	b	but um
98.11%	0.00%	1	bf	a group party
98.12%	0.00%	1	b	oh th-
98.12%	0.00%	1	b^m	three
98.12%	0.00%	1	b^m	oh a sheltie
98.12%	0.00%	1	bf	continuance
98.12%	0.00%	1	bh	are they really
98.13%	0.00%	1	ba	oh that would
98.13%	0.00%	1	b	security number
98.13%	0.00%	1	bk	you are
98.13%	0.00%	1	b	bear bait
98.14%	0.00%	1	ba	wow huh
98.14%	0.00%	1	ba	oh it does
98.14%	0.00%	1	ba	doing it
98.14%	0.00%	1	ba	and that 's
98.15%	0.00%	1	ba	oh good idea
98.15%	0.00%	1	b	correct
98.15%	0.00%	1	b	oh backless
98.15%	0.00%	1	br	and uh what
98.15%	0.00%	1	ba	woo
98.16%	0.00%	1	bf	so communications huh
98.16%	0.00%	1	ba	huh gosh
98.16%	0.00%	1	ba	gee nice huh
98.16%	0.00%	1	bf	against your will
98.17%	0.00%	1	bh	oh you will
98.17%	0.00%	1	bk	oh very good
98.17%	0.00%	1	b^m	oh upstate
98.17%	0.00%	1	bf	a whole lot
98.17%	0.00%	1	b^m	handicraft type things
98.18%	0.00%	1	bf	so the convenience
98.18%	0.00%	1	b	but uh no
98.18%	0.00%	1	ba	that 's fine
98.18%	0.00%	1	b	maybe
98.19%	0.00%	1	b	actually yeah
98.19%	0.00%	1	b^m	best friends now
98.19%	0.00%	1	bk	oh h-
98.19%	0.00%	1	b^m	garland texas
98.19%	0.00%	1	bk	okay john
98.20%	0.00%	1	b^m	at pennsylvania
98.20%	0.00%	1	ba	it 's right
98.20%	0.00%	1	bf	and she devotes
98.20%	0.00%	1	b^m	with children
98.21%	0.00%	1	bf	two
98.21%	0.00%	1	b^m	acid rain
98.21%	0.00%	1	b^m	older
98.21%	0.00%	1	br	what was that
98.21%	0.00%	1	br	toronto
98.22%	0.00%	1	ba	san antonio
98.22%	0.00%	1	ba	oh heavens
98.22%	0.00%	1	bk	oh drywall
98.22%	0.00%	1	ba	it 's astronomical
98.23%	0.00%	1	b^m	dayton ohio
98.23%	0.00%	1	bh	was she
98.23%	0.00%	1	ba	that does n't
98.23%	0.00%	1	b^m	video lectures
98.23%	0.00%	1	bf	something inexpensive
98.24%	0.00%	1	ba	that 's fascinating
98.24%	0.00%	1	ba	honestly
98.24%	0.00%	1	ba	you got it
98.24%	0.00%	1	bf	the spice
98.25%	0.00%	1	bf	just the form
98.25%	0.00%	1	b	well ye- yeah
98.25%	0.00%	1	bf	hardware stuff huh
98.25%	0.00%	1	ba	forget it
98.25%	0.00%	1	ba	that 's strange
98.26%	0.00%	1	bf	clarion
98.26%	0.00%	1	b	so oh well
98.26%	0.00%	1	bk	uh uh-huh
98.26%	0.00%	1	ba	that sounds amazing
98.27%	0.00%	1	bh	it does n't
98.27%	0.00%	1	b^m	um yeah
98.27%	0.00%	1	b^m	lawn
98.27%	0.00%	1	ba	congratulations
98.27%	0.00%	1	ba	goo good question
98.28%	0.00%	1	ba	um gosh
98.28%	0.00%	1	b	yep uh
98.28%	0.00%	1	ba	not after wor-
98.28%	0.00%	1	b^m	my home
98.29%	0.00%	1	b^m	they did
98.29%	0.00%	1	bf	you figure
98.29%	0.00%	1	b^m	in my area
98.29%	0.00%	1	bh	an eel
98.29%	0.00%	1	b	oh i mumblex
98.30%	0.00%	1	b	does that
98.30%	0.00%	1	b^m	gosh bear bait
98.30%	0.00%	1	b	and watch
98.30%	0.00%	1	b	in biographies
98.31%	0.00%	1	b	partitions
98.31%	0.00%	1	b^m	sell you magazines
98.31%	0.00%	1	br	of hyacinths
98.31%	0.00%	1	ba	correct
98.31%	0.00%	1	bf	notoriety
98.32%	0.00%	1	b^m	stick shift
98.32%	0.00%	1	br	every what
98.32%	0.00%	1	b	interesting
98.32%	0.00%	1	b^m	not really
98.33%	0.00%	1	b^m	rap
98.33%	0.00%	1	b^m	new jersey
98.33%	0.00%	1	br	lake what
98.33%	0.00%	1	ba	it figures
98.33%	0.00%	1	ba	exactly and th-
98.34%	0.00%	1	b	section
98.34%	0.00%	1	b^m	mile a minute
98.34%	0.00%	1	b	golf
98.34%	0.00%	1	b^m	ten years
98.35%	0.00%	1	ba	of dang
98.35%	0.00%	1	bh	you were
98.35%	0.00%	1	ba	it
98.35%	0.00%	1	ba	wow really recent
98.35%	0.00%	1	ba	i understand uh
98.36%	0.00%	1	br	southwest where
98.36%	0.00%	1	b	probably
98.36%	0.00%	1	bf	tex-mex tex-mex
98.36%	0.00%	1	bk	oh hurtle
98.37%	0.00%	1	ba	what a nightmare
98.37%	0.00%	1	b^m	oldsmobiles
98.37%	0.00%	1	b^m	uh tex-mex uh
98.37%	0.00%	1	bd	oh okay
98.37%	0.00%	1	ba	why sure
98.38%	0.00%	1	b^m	with computers
98.38%	0.00%	1	b^m	wal-mart
98.38%	0.00%	1	b^m	and two bi-
98.38%	0.00%	1	br	you have five
98.39%	0.00%	1	bk	okay well see
98.39%	0.00%	1	ba	uh strange
98.39%	0.00%	1	b^m	two pounds
98.39%	0.00%	1	bf	hand picked
98.39%	0.00%	1	b	a while
98.40%	0.00%	1	bd	oh well
98.40%	0.00%	1	ba	well how nice
98.40%	0.00%	1	br	dr price
98.40%	0.00%	1	ba	well gee
98.41%	0.00%	1	bf	but for all
98.41%	0.00%	1	b^m	urine screen
98.41%	0.00%	1	b^m	he got sick
98.41%	0.00%	1	bd	that happens
98.41%	0.00%	1	ba	maybe so
98.42%	0.00%	1	b^m	a week
98.42%	0.00%	1	b^m	skidding control
98.42%	0.00%	1	b^m	that
98.42%	0.00%	1	br	uh
98.43%	0.00%	1	b	no um
98.43%	0.00%	1	b^m	bonus time
98.43%	0.00%	1	b	oh alright
98.43%	0.00%	1	bh	oh is there
98.43%	0.00%	1	bf	every hole
98.44%	0.00%	1	b	y- yeah
98.44%	0.00%	1	b^m	pappasito 's
98.44%	0.00%	1	b^m	eleven
98.44%	0.00%	1	ba	huh interesting story
98.45%	0.00%	1	b^m	local you mean
98.45%	0.00%	1	bf	deduct yeah
98.45%	0.00%	1	b	oh why yeah
98.45%	0.00%	1	ba	but uh gee
98.45%	0.00%	1	ba	oh oh goody
98.46%	0.00%	1	br	green card
98.46%	0.00%	1	b	laurie all right
98.46%	0.00%	1	b^m	not too bad
98.46%	0.00%	1	bf	on the out
98.47%	0.00%	1	ba	oh ho-ho
98.47%	0.00%	1	bf	why bother
98.47%	0.00%	1	ba	how strange
98.47%	0.00%	1	b^m	just one
98.48%	0.00%	1	b^m	eighty
98.48%	0.00%	1	bh	do you ski
98.48%	0.00%	1	ba	oh my really
98.48%	0.00%	1	b^m	chains
98.48%	0.00%	1	bf	jump at it
98.49%	0.00%	1	bf	pretax insurance
98.49%	0.00%	1	b^m	but uh okay
98.49%	0.00%	1	bf	just your qualifications
98.49%	0.00%	1	ba	no problems
98.50%	0.00%	1	ba	that 's in-
98.50%	0.00%	1	ba	sure you know
98.50%	0.00%	1	b^m	mazda
98.50%	0.00%	1	b	french yeah
98.50%	0.00%	1	ba	i
98.51%	0.00%	1	b^m	white
98.51%	0.00%	1	b^m	same thing
98.51%	0.00%	1	ba	wowie
98.51%	0.00%	1	b	really you know
98.52%	0.00%	1	br	is that true
98.52%	0.00%	1	b^m	oh ten months
98.52%	0.00%	1	b^m	amarillo
98.52%	0.00%	1	b	for doing nothing
98.52%	0.00%	1	b^m	arkansas
98.53%	0.00%	1	ba	thank god
98.53%	0.00%	1	b	m c i
98.53%	0.00%	1	bf	it 's
98.53%	0.00%	1	ba	that sucks
98.54%	0.00%	1	bf	autocrossing is
98.54%	0.00%	1	b^m	by jane austen
98.54%	0.00%	1	b	huh oh well
98.54%	0.00%	1	ba	well then
98.54%	0.00%	1	b	u- uh-huh
98.55%	0.00%	1	b^m	inside
98.55%	0.00%	1	b	one
98.55%	0.00%	1	b^m	angie
98.55%	0.00%	1	ba	that 's crazy
98.56%	0.00%	1	b^m	teen
98.56%	0.00%	1	br	did what
98.56%	0.00%	1	br	traction
98.56%	0.00%	1	b^m	georgia
98.56%	0.00%	1	ba	oh wow uh
98.57%	0.00%	1	bd	right
98.57%	0.00%	1	ba	uh oh shoot
98.57%	0.00%	1	bf	the advantages
98.57%	0.00%	1	bd	no thanks
98.58%	0.00%	1	b^m	political science oh
98.58%	0.00%	1	b^m	acoustics uh
98.58%	0.00%	1	br	thirty or younger
98.58%	0.00%	1	b	deer valley
98.58%	0.00%	1	ba	oh wo-
98.59%	0.00%	1	b^m	weather-wise
98.59%	0.00%	1	br	get
98.59%	0.00%	1	ba	but uh boy
98.59%	0.00%	1	ba	durn
98.60%	0.00%	1	ba	oh good heavens
98.60%	0.00%	1	ba	um sounds good
98.60%	0.00%	1	b^m	die
98.60%	0.00%	1	ba	that 's sorry
98.60%	0.00%	1	b^m	potential
98.61%	0.00%	1	b^m	but yeah
98.61%	0.00%	1	bf	so the
98.61%	0.00%	1	b^m	sixty eighty
98.61%	0.00%	1	bf	in in texas
98.62%	0.00%	1	b^m	mitzi
98.62%	0.00%	1	b	you too
98.62%	0.00%	1	b	oh i know
98.62%	0.00%	1	b	a running total
98.62%	0.00%	1	b	well sure
98.63%	0.00%	1	ba	oh gees
98.63%	0.00%	1	ba	she is
98.63%	0.00%	1	b^m	thirty
98.63%	0.00%	1	ba	oh my golly
98.64%	0.00%	1	bk	oh sh-
98.64%	0.00%	1	b^m	plano
98.64%	0.00%	1	ba	yuck
98.64%	0.00%	1	ba	bless their hearts
98.64%	0.00%	1	bk	i know
98.65%	0.00%	1	bf	the blue flu
98.65%	0.00%	1	b^m	in high school
98.65%	0.00%	1	ba	much stronger
98.65%	0.00%	1	b^m	late fifties
98.66%	0.00%	1	bf	getting in
98.66%	0.00%	1	ba	you learn
98.66%	0.00%	1	b	that
98.66%	0.00%	1	b^m	senior
98.66%	0.00%	1	br	in tak
98.67%	0.00%	1	b^m	substitute teacher
98.67%	0.00%	1	b^m	oh uh-huh
98.67%	0.00%	1	ba	i like that
98.67%	0.00%	1	bh	have they
98.68%	0.00%	1	bh	wow eight kids
98.68%	0.00%	1	ba	how lucky
98.68%	0.00%	1	ba	that is wild
98.68%	0.00%	1	b^m	and now
98.68%	0.00%	1	ba	but
98.69%	0.00%	1	b	uh-huh you know
98.69%	0.00%	1	br	step classes
98.69%	0.00%	1	br	what was
98.69%	0.00%	1	br	oh amarillo
98.70%	0.00%	1	ba	immediately
98.70%	0.00%	1	b	up here
98.70%	0.00%	1	b^m	the air bags
98.70%	0.00%	1	bf	adapt
98.70%	0.00%	1	ba	that 's sweet
98.71%	0.00%	1	b^m	very much
98.71%	0.00%	1	bf	moved from
98.71%	0.00%	1	ba	oh my heaven
98.71%	0.00%	1	b	ye- ye- yeah
98.72%	0.00%	1	ba	i remember
98.72%	0.00%	1	bk	oh dursban two
98.72%	0.00%	1	b	is he really
98.72%	0.00%	1	ba	oh they do
98.72%	0.00%	1	b^m	those deaths
98.73%	0.00%	1	b^m	right here bambi
98.73%	0.00%	1	b^m	the me decade
98.73%	0.00%	1	b^m	problem
98.73%	0.00%	1	ba	phew
98.74%	0.00%	1	ba	oh what luck
98.74%	0.00%	1	ba	that 's difficult
98.74%	0.00%	1	br	say what
98.74%	0.00%	1	bf	so he 's
98.74%	0.00%	1	b^m	hopkins
98.75%	0.00%	1	bh	oh you were
98.75%	0.00%	1	ba	um gee
98.75%	0.00%	1	b^m	a government
98.75%	0.00%	1	ba	e-
98.76%	0.00%	1	b^m	two and one
98.76%	0.00%	1	ba	that was lucky
98.76%	0.00%	1	b^m	forty-eight
98.76%	0.00%	1	bf	to report it
98.76%	0.00%	1	b	yeah uh uh
98.77%	0.00%	1	bh	no snow
98.77%	0.00%	1	b^m	ferraro
98.77%	0.00%	1	bf	you feel like
98.77%	0.00%	1	b	take them out
98.78%	0.00%	1	br	unsweetened
98.78%	0.00%	1	ba	wholly smoke
98.78%	0.00%	1	b^m	to
98.78%	0.00%	1	bf	the cajuns
98.78%	0.00%	1	bf	based on fact
98.79%	0.00%	1	b^m	eat it all
98.79%	0.00%	1	ba	that is funny
98.79%	0.00%	1	bh	yes
98.79%	0.00%	1	bf	pork barrel politics
98.80%	0.00%	1	bk	oh wow
98.80%	0.00%	1	ba	sounds too good
98.80%	0.00%	1	bf	dead 's dead
98.80%	0.00%	1	ba	i i know
98.80%	0.00%	1	ba	no way
98.81%	0.00%	1	bf	oh you are
98.81%	0.00%	1	bf	three hours difference
98.81%	0.00%	1	b	striper
98.81%	0.00%	1	b^m	oh haiti
98.82%	0.00%	1	bh	it did
98.82%	0.00%	1	b^m	this is college
98.82%	0.00%	1	ba	that 's something
98.82%	0.00%	1	ba	oh my gos-
98.83%	0.00%	1	b	yellow peppers huh
98.83%	0.00%	1	b^m	louisiana
98.83%	0.00%	1	bh	it is n't
98.83%	0.00%	1	ba	not all
98.83%	0.00%	1	b^m	oscar
98.84%	0.00%	1	bh	oh that recent
98.84%	0.00%	1	br	you do
98.84%	0.00%	1	ba	you 're lucky
98.84%	0.00%	1	bf	you have
98.85%	0.00%	1	br	do i vote
98.85%	0.00%	1	b^m	summer place
98.85%	0.00%	1	ba	i see that
98.85%	0.00%	1	ba	groovy
98.85%	0.00%	1	b^m	for two
98.86%	0.00%	1	b^m	oh purdue
98.86%	0.00%	1	br	that 's what
98.86%	0.00%	1	ba	well very good
98.86%	0.00%	1	b^m	gumbo
98.87%	0.00%	1	b	but
98.87%	0.00%	1	b^m	more fresh vegetables
98.87%	0.00%	1	ba	and ugh
98.87%	0.00%	1	b^m	i mean yeah
98.87%	0.00%	1	b	two girls
98.88%	0.00%	1	b	accessories
98.88%	0.00%	1	bh	well really
98.88%	0.00%	1	b^m	for the machine
98.88%	0.00%	1	b	great
98.89%	0.00%	1	ba	oh right
98.89%	0.00%	1	b^m	is done
98.89%	0.00%	1	b	uh- yeah
98.89%	0.00%	1	bf	oh something
98.89%	0.00%	1	ba	geez
98.90%	0.00%	1	ba	th- co-
98.90%	0.00%	1	b^m	what advice
98.90%	0.00%	1	ba	very much
98.90%	0.00%	1	bd	well no
98.91%	0.00%	1	br	what for
98.91%	0.00%	1	ba	probably not
98.91%	0.00%	1	bk	oh mumblex
98.91%	0.00%	1	b^m	at least
98.91%	0.00%	1	bf	kiss some butt
98.92%	0.00%	1	b^m	always worked
98.92%	0.00%	1	b	my community
98.92%	0.00%	1	bh	is that incredible
98.92%	0.00%	1	bk	oh do you
98.93%	0.00%	1	ba	it sounds nice
98.93%	0.00%	1	b^m	oh liberal
98.93%	0.00%	1	b	central
98.93%	0.00%	1	ba	imagine that
98.93%	0.00%	1	ba	understand
98.94%	0.00%	1	bf	a student
98.94%	0.00%	1	b^m	and the skunk
98.94%	0.00%	1	bf	suburban tract
98.94%	0.00%	1	b^m	fried chicken
98.95%	0.00%	1	bf	oh that one
98.95%	0.00%	1	br	b l y
98.95%	0.00%	1	ba	what an experience
98.95%	0.00%	1	ba	oh well yeah
98.95%	0.00%	1	b^m	thirty-one
98.96%	0.00%	1	ba	oh yeah oh
98.96%	0.00%	1	ba	sure enough
98.96%	0.00%	1	bf	presentation
98.96%	0.00%	1	bf	nothing like that
98.97%	0.00%	1	ba	surprise surprise
98.97%	0.00%	1	bf	all the checks
98.97%	0.00%	1	bf	eight point five
98.97%	0.00%	1	bf	too transit
98.97%	0.00%	1	ba	ooh yeah
98.98%	0.00%	1	b	anybody
98.98%	0.00%	1	b	i guess so
98.98%	0.00%	1	b^m	blacksburg
98.98%	0.00%	1	b	keep it damp
98.99%	0.00%	1	b^m	off
98.99%	0.00%	1	br	dye mound
98.99%	0.00%	1	ba	pretty funny
98.99%	0.00%	1	b^m	ok
98.99%	0.00%	1	bk	um okay
99.00%	0.00%	1	b	oh diving
99.00%	0.00%	1	ba	amen
99.00%	0.00%	1	bf	work
99.00%	0.00%	1	b^m	total gun control
99.01%	0.00%	1	ba	uh gee
99.01%	0.00%	1	b^m	frank e peretti
99.01%	0.00%	1	ba	thank goodness
99.01%	0.00%	1	ba	well good deal
99.01%	0.00%	1	b^m	two and two
99.02%	0.00%	1	b^m	material things
99.02%	0.00%	1	b	oh lord
99.02%	0.00%	1	ba	oh my goodne-
99.02%	0.00%	1	bf	oh these
99.03%	0.00%	1	b	uh-oh uh-oh yeah
99.03%	0.00%	1	b	so really
99.03%	0.00%	1	b^m	centimeters
99.03%	0.00%	1	bf	to operate yeah
99.03%	0.00%	1	bf	native vietnamese people
99.04%	0.00%	1	ba	i am glad
99.04%	0.00%	1	ba	oh good luck
99.04%	0.00%	1	b^m	was the drumming
99.04%	0.00%	1	ba	uh wow mumblex
99.05%	0.00%	1	b^m	amenities
99.05%	0.00%	1	bf	it 's easy
99.05%	0.00%	1	ba	that is excellent
99.05%	0.00%	1	bh	oh have they
99.05%	0.00%	1	ba	all right great
99.06%	0.00%	1	bf	fast
99.06%	0.00%	1	bf	the mountains
99.06%	0.00%	1	b^m	backpacking
99.06%	0.00%	1	b^m	huh-uh
99.07%	0.00%	1	b^m	on the others
99.07%	0.00%	1	b	yes uh
99.07%	0.00%	1	b^m	a lot different
99.07%	0.00%	1	bh	were they
99.07%	0.00%	1	b	still at it
99.08%	0.00%	1	b^m	live in florida
99.08%	0.00%	1	b^m	thelma and louise
99.08%	0.00%	1	b^m	uh ha
99.08%	0.00%	1	bk	okay oh
99.09%	0.00%	1	br	more lax
99.09%	0.00%	1	ba	well great great
99.09%	0.00%	1	b	uh i
99.09%	0.00%	1	b^m	schnauzers
99.09%	0.00%	1	bf	lunch bags
99.10%	0.00%	1	b	i really
99.10%	0.00%	1	ba	to bad huh
99.10%	0.00%	1	ba	and gosh
99.10%	0.00%	1	bh	you have n't
99.11%	0.00%	1	b^m	time uh-huh
99.11%	0.00%	1	ba	which is ridiculous
99.11%	0.00%	1	ba	lucky you
99.11%	0.00%	1	b^m	or something
99.11%	0.00%	1	b^m	the china more
99.12%	0.00%	1	b^m	what yeah
99.12%	0.00%	1	br	kentucky
99.12%	0.00%	1	bf	you would
99.12%	0.00%	1	b^m	oh hybrid teas
99.13%	0.00%	1	ba	ugh neat
99.13%	0.00%	1	b^m	asking
99.13%	0.00%	1	b^m	three weeks
99.13%	0.00%	1	br	detroit
99.13%	0.00%	1	bf	surprising
99.14%	0.00%	1	ba	you are right
99.14%	0.00%	1	b^m	four and five
99.14%	0.00%	1	b^m	no thanks
99.14%	0.00%	1	ba	sounds good
99.15%	0.00%	1	bd	learning
99.15%	0.00%	1	b^m	ten
99.15%	0.00%	1	bk	minnesota
99.15%	0.00%	1	ba	but hey
99.16%	0.00%	1	b^m	you never know
99.16%	0.00%	1	b	that 's okay
99.16%	0.00%	1	b	usually yeah
99.16%	0.00%	1	b^m	rather frugal
99.16%	0.00%	1	ba	um interesting
99.17%	0.00%	1	ba	oh lucky you
99.17%	0.00%	1	ba	well gee whiz
99.17%	0.00%	1	b^m	you 're twenty-nine
99.17%	0.00%	1	b^m	all week
99.18%	0.00%	1	ba	well now
99.18%	0.00%	1	bf	quicker
99.18%	0.00%	1	b^m	mexican
99.18%	0.00%	1	bf	that 's hard
99.18%	0.00%	1	b	did
99.19%	0.00%	1	bh	why not
99.19%	0.00%	1	bd	that 's fine
