aggregated	self	category	text
96.27%	0.00%	1	ba	what a treat
96.27%	0.00%	1	br	saginaw
96.28%	0.00%	1	b^m	vermont
96.28%	0.00%	1	bk	oh drywall
96.28%	0.00%	1	ba	oh it sounds fantastic
96.28%	0.00%	1	b	a while
96.28%	0.00%	1	b^m	pick up
96.29%	0.00%	1	ba	that 's really interesting
96.29%	0.00%	1	ba	super
96.29%	0.00%	1	ba	such a deal
96.29%	0.00%	1	ba	huh gosh
96.30%	0.00%	1	b	then right
96.30%	0.00%	1	ba	oh that 's true
96.30%	0.00%	1	b	take them out
96.30%	0.00%	1	ba	that 's just great
96.30%	0.00%	1	ba	very seriously
96.31%	0.00%	1	b^m	jewish
96.31%	0.00%	1	ba	why sure
96.31%	0.00%	1	b^m	next weekend
96.31%	0.00%	1	b^m	to find it
96.32%	0.00%	1	bk	oh do you
96.32%	0.00%	1	b^m	four and five
96.32%	0.00%	1	bh	you have n't
96.32%	0.00%	1	bf	vacation home
96.32%	0.00%	1	bh	have they
96.33%	0.00%	1	ba	oh that 's amazing
96.33%	0.00%	1	ba	you are right
96.33%	0.00%	1	ba	oh interesting
96.33%	0.00%	1	bh	oh was it
96.33%	0.00%	1	ba	hey oh
96.34%	0.00%	1	ba	what a hassle
96.34%	0.00%	1	bf	just life in general
96.34%	0.00%	1	bh	do n't they
96.34%	0.00%	1	ba	of dang
96.35%	0.00%	1	ba	doggone it
96.35%	0.00%	1	ba	oh absolutely
96.35%	0.00%	1	b^m	converter
96.35%	0.00%	1	ba	that is not bad
96.35%	0.00%	1	b^m	sell you magazines
96.36%	0.00%	1	ba	wonderful place
96.36%	0.00%	1	b^m	you never know
96.36%	0.00%	1	ba	um oh god
96.36%	0.00%	1	b	ooh yes
96.37%	0.00%	1	b^m	senior
96.37%	0.00%	1	bh	oh does it really
96.37%	0.00%	1	b^m	brand new mumblex
96.37%	0.00%	1	ba	jesus
96.37%	0.00%	1	ba	you 're absolutely right
96.38%	0.00%	1	ba	i know what
96.38%	0.00%	1	b	is he really
96.38%	0.00%	1	b^m	amarillo
96.38%	0.00%	1	ba	but hey
96.38%	0.00%	1	b^m	johnson city
96.39%	0.00%	1	bf	never
96.39%	0.00%	1	ba	good night
96.39%	0.00%	1	bf	come to my menagerie
96.39%	0.00%	1	b^m	gosh bear bait
96.40%	0.00%	1	ba	oh that sounds delicious
96.40%	0.00%	1	bf	control
96.40%	0.00%	1	br	in tak
96.40%	0.00%	1	bf	the b- the bureaucracy
96.40%	0.00%	1	b^m	you want to
96.41%	0.00%	1	b^m	georgia
96.41%	0.00%	1	ba	i can bel
96.41%	0.00%	1	bf	traumatized for life here
96.41%	0.00%	1	b	oh the potato
96.42%	0.00%	1	b	cuddle up uh-huh
96.42%	0.00%	1	ba	okay
96.42%	0.00%	1	ba	well that 's fact
96.42%	0.00%	1	br	oh tom grieve
96.42%	0.00%	1	ba	i can see that
96.43%	0.00%	1	b	golly
96.43%	0.00%	1	b	but uh no
96.43%	0.00%	1	bf	what you thought huh
96.43%	0.00%	1	b	a- oh i see
96.43%	0.00%	1	bf	all the checks
96.44%	0.00%	1	b^m	portland
96.44%	0.00%	1	bf	cooking chocolate
96.44%	0.00%	1	ba	that 's in-
96.44%	0.00%	1	b	you 're reading dune
96.45%	0.00%	1	bf	surprising
96.45%	0.00%	1	bf	and she devotes
96.45%	0.00%	1	ba	well those are just
96.45%	0.00%	1	bh	ooh really
96.45%	0.00%	1	b	but i mean
96.46%	0.00%	1	ba	that 's very cool
96.46%	0.00%	1	b^m	oh you 're ann
96.46%	0.00%	1	br	ninety-eight
96.46%	0.00%	1	ba	i mean boy
96.47%	0.00%	1	br	do i vote
96.47%	0.00%	1	ba	well that was good
96.47%	0.00%	1	ba	she is
96.47%	0.00%	1	bf	you are not right
96.47%	0.00%	1	ba	believe me i understand
96.48%	0.00%	1	ba	oh that sounds mar-
96.48%	0.00%	1	ba	that 's true well
96.48%	0.00%	1	bf	tex-mex tex-mex
96.48%	0.00%	1	ba	oh i bet it
96.48%	0.00%	1	ba	that was lucky
96.49%	0.00%	1	b^m	asking
96.49%	0.00%	1	b^m	it 's similar
96.49%	0.00%	1	bf	joe pros
96.49%	0.00%	1	ba	that 's sweet
96.50%	0.00%	1	bk	t i i see
96.50%	0.00%	1	bk	oh i
96.50%	0.00%	1	ba	boy oh boy
96.50%	0.00%	1	ba	good job
96.50%	0.00%	1	b^m	sixty eighty
96.51%	0.00%	1	b^m	plano
96.51%	0.00%	1	br	traction
96.51%	0.00%	1	ba	a-cha
96.51%	0.00%	1	ba	in the first grade
96.52%	0.00%	1	ba	i bet she does
96.52%	0.00%	1	ba	but
96.52%	0.00%	1	b^m	three weeks
96.52%	0.00%	1	b^m	technical
96.52%	0.00%	1	ba	oh fun
96.53%	0.00%	1	b^m	angie
96.53%	0.00%	1	b	probably
96.53%	0.00%	1	b^m	n- nebraska
96.53%	0.00%	1	b	that that maybe true
96.53%	0.00%	1	b	uh- yeah
96.54%	0.00%	1	b	oh i mumblex
96.54%	0.00%	1	b^m	oh ten months
96.54%	0.00%	1	ba	um gee
96.54%	0.00%	1	b^m	c b s
96.55%	0.00%	1	b^m	the china more
96.55%	0.00%	1	ba	what a nightmare
96.55%	0.00%	1	bf	oh you think children
96.55%	0.00%	1	bf	preparing it
96.55%	0.00%	1	bk	oh i got you
96.56%	0.00%	1	bh	you were
96.56%	0.00%	1	b	schedule vacation time
96.56%	0.00%	1	bf	she
96.56%	0.00%	1	ba	was it oh good
96.57%	0.00%	1	bf	a
96.57%	0.00%	1	b	mumblex e- right
96.57%	0.00%	1	bd	right
96.57%	0.00%	1	b^m	out of each child
96.57%	0.00%	1	bf	something a little extra
96.58%	0.00%	1	b	y- yeah
96.58%	0.00%	1	bk	oh good
96.58%	0.00%	1	bh	you are
96.58%	0.00%	1	ba	call the crisis line
96.58%	0.00%	1	bk	oh are you
96.59%	0.00%	1	ba	that 's extremely good
96.59%	0.00%	1	ba	well that helps
96.59%	0.00%	1	ba	that helps
96.59%	0.00%	1	b^m	twenty-eight
96.60%	0.00%	1	bk	oh ok
96.60%	0.00%	1	ba	that 's pretty sad
96.60%	0.00%	1	b^m	lexus
96.60%	0.00%	1	bh	is it uh
96.60%	0.00%	1	bf	that was yours
96.61%	0.00%	1	bf	instead of being carried
96.61%	0.00%	1	b	so anyway
96.61%	0.00%	1	ba	oh what a deal
96.61%	0.00%	1	b^m	oh knishes
96.62%	0.00%	1	ba	it 's astronomical
96.62%	0.00%	1	b	i mean
96.62%	0.00%	1	ba	well that 's correct
96.62%	0.00%	1	br	what was
96.62%	0.00%	1	bh	is n't that nice
96.63%	0.00%	1	b^m	in georgia
96.63%	0.00%	1	br	two hours where
96.63%	0.00%	1	b^m	august moon
96.63%	0.00%	1	ba	golly that 's great
96.63%	0.00%	1	bf	clyde the iguana
96.64%	0.00%	1	ba	now that 's strange
96.64%	0.00%	1	ba	huh that
96.64%	0.00%	1	b^m	the restaurant ha-
96.64%	0.00%	1	ba	that does n't
96.65%	0.00%	1	ba	huh
96.65%	0.00%	1	b^m	no slacks
96.65%	0.00%	1	ba	it it 's sad
96.65%	0.00%	1	b^m	purdue
96.65%	0.00%	1	bf	have a law background
96.66%	0.00%	1	b^m	oh a sheltie
96.66%	0.00%	1	ba	that 's always good
96.66%	0.00%	1	bk	oh dursban two
96.66%	0.00%	1	b^m	a profit sharing plan
96.67%	0.00%	1	b	huh right
96.67%	0.00%	1	bf	oh these
96.67%	0.00%	1	ba	that could work
96.67%	0.00%	1	bf	deduct yeah
96.67%	0.00%	1	br	dr price
96.68%	0.00%	1	ba	that was pretty pitiful
96.68%	0.00%	1	ba	wow really recent
96.68%	0.00%	1	b^m	alzheimer
96.68%	0.00%	1	ba	huh it really is
96.68%	0.00%	1	b	um um oh yeah
96.69%	0.00%	1	bk	good
96.69%	0.00%	1	ba	uh that 's terrible
96.69%	0.00%	1	ba	oh that would
96.69%	0.00%	1	br	galveston
96.70%	0.00%	1	ba	uh quite large
96.70%	0.00%	1	ba	well that
96.70%	0.00%	1	b	oh see that 's
96.70%	0.00%	1	ba	i hear you there
96.70%	0.00%	1	b^m	with children
96.71%	0.00%	1	b^m	hem- hormones
96.71%	0.00%	1	ba	oh i 'm jealous
96.71%	0.00%	1	ba	four
96.71%	0.00%	1	ba	oh wo-
96.72%	0.00%	1	ba	give me a break
96.72%	0.00%	1	bf	if you want to
96.72%	0.00%	1	bf	you do it
96.72%	0.00%	1	bf	presentation
96.72%	0.00%	1	b^m	shoeless joe
96.73%	0.00%	1	ba	oh go-
96.73%	0.00%	1	bh	and uh
96.73%	0.00%	1	bf	because you
96.73%	0.00%	1	ba	oh that sounds nice
96.73%	0.00%	1	ba	that that is interesting
96.74%	0.00%	1	br	pacific science
96.74%	0.00%	1	b	excuse me uh yeah
96.74%	0.00%	1	ba	aye aye aye
96.74%	0.00%	1	ba	uh oh shoot
96.75%	0.00%	1	bf	he wanted new one
96.75%	0.00%	1	b	or right
96.75%	0.00%	1	b^m	one parent
96.75%	0.00%	1	ba	oh god oh
96.75%	0.00%	1	br	get
96.76%	0.00%	1	ba	that could well be
96.76%	0.00%	1	b	oh th-
96.76%	0.00%	1	b^m	but um right
96.76%	0.00%	1	ba	so hey
96.77%	0.00%	1	b	partitions
96.77%	0.00%	1	bf	so your wife
96.77%	0.00%	1	ba	that sounds like fun
96.77%	0.00%	1	br	in new mexico
96.77%	0.00%	1	b^m	forty-eight
96.78%	0.00%	1	ba	oh heavens
96.78%	0.00%	1	bf	our own hemisphere
96.78%	0.00%	1	bh	brisket
96.78%	0.00%	1	b^m	bermuda
96.78%	0.00%	1	bf	strictly your skill
96.79%	0.00%	1	br	criminal courts
96.79%	0.00%	1	b^m	oh four
96.79%	0.00%	1	b	i guess
96.79%	0.00%	1	bh	is there anything missing
96.80%	0.00%	1	ba	that sounds
96.80%	0.00%	1	b^m	just one
96.80%	0.00%	1	ba	you got a buy
96.80%	0.00%	1	ba	that feels really good
96.80%	0.00%	1	ba	surprise surprise
96.81%	0.00%	1	bk	huh
96.81%	0.00%	1	br	down here the grass
96.81%	0.00%	1	ba	they are
96.81%	0.00%	1	ba	well gee whiz
96.82%	0.00%	1	bf	what is what
96.82%	0.00%	1	ba	well that sounds pretty
96.82%	0.00%	1	ba	oh that works
96.82%	0.00%	1	ba	oh no doubt
96.82%	0.00%	1	ba	well that is good
96.83%	0.00%	1	b	security number
96.83%	0.00%	1	b^m	it depends
96.83%	0.00%	1	bf	a little more flexibility
96.83%	0.00%	1	ba	i 'm telling you
96.83%	0.00%	1	b	uh-oh uh-oh yeah
96.84%	0.00%	1	b^m	uh mission
96.84%	0.00%	1	bf	oh your not
96.84%	0.00%	1	bf	so that 's perfect
96.84%	0.00%	1	br	both
96.85%	0.00%	1	b	sure uh
96.85%	0.00%	1	bh	that right
96.85%	0.00%	1	ba	that 's fantastic
96.85%	0.00%	1	ba	that 's a thought
96.85%	0.00%	1	ba	oh that is interesting
96.86%	0.00%	1	b^m	time uh-huh
96.86%	0.00%	1	bf	that one person
96.86%	0.00%	1	ba	oh that 's fascinating
96.86%	0.00%	1	ba	that 's psychedelic
96.87%	0.00%	1	b^m	homes
96.87%	0.00%	1	b	french yeah
96.87%	0.00%	1	b^m	but um yeah
96.87%	0.00%	1	b^m	grumpy to begin with
96.87%	0.00%	1	ba	imagine that
96.88%	0.00%	1	bh	oh did it
96.88%	0.00%	1	b	i mean uh sure
96.88%	0.00%	1	bd	oh it 's okay
96.88%	0.00%	1	b^m	grass
96.88%	0.00%	1	ba	that 's crazy
96.89%	0.00%	1	br	to what avis
96.89%	0.00%	1	ba	i will be darn
96.89%	0.00%	1	b^m	rome new york
96.89%	0.00%	1	b^m	u n l v
96.90%	0.00%	1	b^m	visit
96.90%	0.00%	1	b^m	a c d c
96.90%	0.00%	1	b	still at it
96.90%	0.00%	1	ba	easily
96.90%	0.00%	1	b^m	families
96.91%	0.00%	1	ba	like oh my gosh
96.91%	0.00%	1	b	oh d-
96.91%	0.00%	1	b^m	that was about it
96.91%	0.00%	1	bf	that
96.92%	0.00%	1	ba	i 'll bet um
96.92%	0.00%	1	b^m	but uh yeah
96.92%	0.00%	1	b^m	pianos uh-huh
96.92%	0.00%	1	ba	how lucky
96.92%	0.00%	1	b	actually yeah
96.93%	0.00%	1	b^m	five bedrooms
96.93%	0.00%	1	ba	sounds like my grandchildren
96.93%	0.00%	1	b^m	expedient
96.93%	0.00%	1	bf	that would be premeditated
96.93%	0.00%	1	b	oh so mumblex
96.94%	0.00%	1	b	i know it
96.94%	0.00%	1	b^m	but uh okay
96.94%	0.00%	1	ba	so that 's good
96.94%	0.00%	1	b^m	um
96.95%	0.00%	1	ba	of course um
96.95%	0.00%	1	ba	that looks good too
96.95%	0.00%	1	b	all righty
96.95%	0.00%	1	ba	yuck
96.95%	0.00%	1	bk	okay well see
96.96%	0.00%	1	bf	oh of everything
96.96%	0.00%	1	ba	oh good for you
96.96%	0.00%	1	ba	that 's unusual
96.96%	0.00%	1	b^m	folk music
96.97%	0.00%	1	b^m	those deaths
96.97%	0.00%	1	b^m	fish eggs
96.97%	0.00%	1	ba	i 'm jealous
96.97%	0.00%	1	ba	you 're not kidding
96.97%	0.00%	1	ba	i ca n't mumblex
96.98%	0.00%	1	ba	um that is awful
96.98%	0.00%	1	b	substantially you know
96.98%	0.00%	1	b	oh he is
96.98%	0.00%	1	bf	a whole lot
96.98%	0.00%	1	b	you know yeah
96.99%	0.00%	1	b^m	at least
96.99%	0.00%	1	bf	you become callous
96.99%	0.00%	1	ba	uh oh golly
96.99%	0.00%	1	br	he 's got what
97.00%	0.00%	1	ba	that 's good uh
97.00%	0.00%	1	ba	oh oh yeah
97.00%	0.00%	1	b^m	eighty
97.00%	0.00%	1	bf	clarion
97.00%	0.00%	1	b^m	do n't retire
97.01%	0.00%	1	b^m	fried chicken
97.01%	0.00%	1	bf	the economy is lousy
97.01%	0.00%	1	br	what do you mean
97.01%	0.00%	1	b	deer valley
97.02%	0.00%	1	b^m	um yeah
97.02%	0.00%	1	ba	um fun
97.02%	0.00%	1	b^m	teen
97.02%	0.00%	1	ba	i i know
97.02%	0.00%	1	br	what again
97.03%	0.00%	1	br	you what
97.03%	0.00%	1	bf	it 's
97.03%	0.00%	1	bf	nothing like that
97.03%	0.00%	1	br	and uh what
97.03%	0.00%	1	br	hm
97.04%	0.00%	1	ba	which is ridiculous
97.04%	0.00%	1	br	yes
97.04%	0.00%	1	bf	oh chris xeros
97.04%	0.00%	1	bf	skip this tournament
97.05%	0.00%	1	bk	oh hurtle
97.05%	0.00%	1	b^m	physics
97.05%	0.00%	1	ba	that 's strange
97.05%	0.00%	1	b^m	joey
97.05%	0.00%	1	b^m	not originally
97.06%	0.00%	1	bf	to use you mean
97.06%	0.00%	1	ba	is n't that wonderful
97.06%	0.00%	1	ba	it 's real tough
97.06%	0.00%	1	ba	sounds too good
97.07%	0.00%	1	ba	oh that was good
97.07%	0.00%	1	bf	so you
97.07%	0.00%	1	ba	that 's pretty tough
97.07%	0.00%	1	ba	boy i bet
97.07%	0.00%	1	b^m	five
97.08%	0.00%	1	br	that 's what
97.08%	0.00%	1	b^m	same thing
97.08%	0.00%	1	ba	my golly
97.08%	0.00%	1	ba	i imagine mumblex
97.08%	0.00%	1	b	you 're stuck together
97.09%	0.00%	1	ba	oh gosh oh gosh
97.09%	0.00%	1	b	that happens
97.09%	0.00%	1	b^m	blacksburg
97.09%	0.00%	1	b	that 's great
97.10%	0.00%	1	ba	that makes sense too
97.10%	0.00%	1	ba	that will be fun
97.10%	0.00%	1	ba	it sounds awful
97.10%	0.00%	1	b	m c i
97.10%	0.00%	1	ba	and uh but boy
97.11%	0.00%	1	bf	you feel like
97.11%	0.00%	1	ba	like good grief
97.11%	0.00%	1	b	good to hear
97.11%	0.00%	1	b	well ye- yeah
97.12%	0.00%	1	b	but
97.12%	0.00%	1	b^m	oh north dallas
97.12%	0.00%	1	ba	oh gracious
97.12%	0.00%	1	bf	oh like everything else
97.12%	0.00%	1	ba	hey that sounds great
97.13%	0.00%	1	bf	dead 's dead
97.13%	0.00%	1	ba	my goodness uh
97.13%	0.00%	1	bh	is n't that
97.13%	0.00%	1	b	and um yeah
97.13%	0.00%	1	bf	compile more statistics
97.14%	0.00%	1	ba	that 's not
97.14%	0.00%	1	bf	uh a stump killer
97.14%	0.00%	1	ba	maybe so
97.14%	0.00%	1	b^m	mexican
97.15%	0.00%	1	ba	thanks a lot
97.15%	0.00%	1	bh	that 's it
97.15%	0.00%	1	br	that 's north
97.15%	0.00%	1	ba	oh that sounds wonderful
97.15%	0.00%	1	ba	oh okay great
97.16%	0.00%	1	b^m	dayton ohio
97.16%	0.00%	1	b^m	oh ten years younger
97.16%	0.00%	1	b^m	live in florida
97.16%	0.00%	1	ba	now that sounds awful
97.17%	0.00%	1	bf	earlier things
97.17%	0.00%	1	ba	oh how pretty
97.17%	0.00%	1	bf	do volunteer work and
97.17%	0.00%	1	ba	well i know
97.17%	0.00%	1	bf	like fishing and ...
97.18%	0.00%	1	b^m	grandmother
97.18%	0.00%	1	b^m	acid rain
97.18%	0.00%	1	b^m	huh illegal
97.18%	0.00%	1	bk	okay john
97.18%	0.00%	1	ba	goo good question
97.19%	0.00%	1	bh	oh it was n't
97.19%	0.00%	1	ba	uh that 's neat
97.19%	0.00%	1	bk	oh se-
97.19%	0.00%	1	ba	um that sounds nice
97.20%	0.00%	1	b	oh all right
97.20%	0.00%	1	ba	i 'd i bet
97.20%	0.00%	1	b^m	the most expensive
97.20%	0.00%	1	bf	so they have n-
97.20%	0.00%	1	b^m	latin america
97.21%	0.00%	1	bf	the spice
97.21%	0.00%	1	bh	were they
97.21%	0.00%	1	bf	little butcher shops yeah
97.21%	0.00%	1	ba	ooh yes
97.22%	0.00%	1	b	mumblex
97.22%	0.00%	1	b^m	maui
97.22%	0.00%	1	bf	that that that counts
97.22%	0.00%	1	ba	sure did
97.22%	0.00%	1	bf	jump at it
97.23%	0.00%	1	br	you do
97.23%	0.00%	1	bk	linda
97.23%	0.00%	1	bf	uh the nanny type
97.23%	0.00%	1	b^m	all week
97.23%	0.00%	1	ba	san antonio
97.24%	0.00%	1	bf	it made you think
97.24%	0.00%	1	ba	a whole new world
97.24%	0.00%	1	b	ye- ye- yeah
97.24%	0.00%	1	br	what do you think
97.25%	0.00%	1	bf	you have
97.25%	0.00%	1	b^m	type it out uh-huh
97.25%	0.00%	1	br	did what
97.25%	0.00%	1	bf	you are
97.25%	0.00%	1	bf	you say yes
97.26%	0.00%	1	b	time uh-huh
97.26%	0.00%	1	ba	that 's interesting uh-huh
97.26%	0.00%	1	bf	the uh the supports
97.26%	0.00%	1	bf	hand picked
97.27%	0.00%	1	b	section
97.27%	0.00%	1	bf	they are tough
97.27%	0.00%	1	ba	you better believe it
97.27%	0.00%	1	bh	would they
97.27%	0.00%	1	bf	research triangle
97.28%	0.00%	1	ba	it certainly does
97.28%	0.00%	1	bf	all split
97.28%	0.00%	1	bf	empowerment issues
97.28%	0.00%	1	b^m	was the drumming
97.28%	0.00%	1	b	bear bait
97.29%	0.00%	1	b	that one
97.29%	0.00%	1	ba	those are pretty
97.29%	0.00%	1	ba	i got you
97.29%	0.00%	1	bf	it was fun
97.30%	0.00%	1	bh	why not
97.30%	0.00%	1	b	are you
97.30%	0.00%	1	b^m	or something
97.30%	0.00%	1	ba	i would be too
97.30%	0.00%	1	ba	mumblex that 's true
97.31%	0.00%	1	ba	that 's sounds good
97.31%	0.00%	1	bf	it 's vacations christmas
97.31%	0.00%	1	b	one 's four
97.31%	0.00%	1	bf	pretty low
97.32%	0.00%	1	bf	some of them disagree
97.32%	0.00%	1	b^m	on the others
97.32%	0.00%	1	bf	proper interface
97.32%	0.00%	1	ba	but that 's true
97.32%	0.00%	1	br	lake what
97.33%	0.00%	1	br	a tent
97.33%	0.00%	1	ba	well it sounds good
97.33%	0.00%	1	ba	well i declare
97.33%	0.00%	1	ba	wow that 's rough
97.33%	0.00%	1	bf	changing people 's expectations
97.34%	0.00%	1	bh	oh is there
97.34%	0.00%	1	ba	that 's re-
97.34%	0.00%	1	ba	that 's incredible too
97.34%	0.00%	1	b^m	summer place
97.35%	0.00%	1	b	well uh okay
97.35%	0.00%	1	ba	that 's neat neat
97.35%	0.00%	1	ba	that 's super
97.35%	0.00%	1	ba	no way
97.35%	0.00%	1	bf	it is
97.36%	0.00%	1	bf	arlington area
97.36%	0.00%	1	b^m	whatever their talents yeah
97.36%	0.00%	1	bf	type of thing
97.36%	0.00%	1	ba	oh i think so
97.37%	0.00%	1	b^m	small world
97.37%	0.00%	1	b^m	potential
97.37%	0.00%	1	bf	native vietnamese people
97.37%	0.00%	1	bf	that 's that 's
97.37%	0.00%	1	br	what for
97.38%	0.00%	1	ba	that 's odd
97.38%	0.00%	1	ba	guess so
97.38%	0.00%	1	b^m	to
97.38%	0.00%	1	ba	ooh neat
97.38%	0.00%	1	b^m	total gun control
97.39%	0.00%	1	b^m	you are now
97.39%	0.00%	1	b^m	six foot
97.39%	0.00%	1	bk	i know
97.39%	0.00%	1	ba	uh oh jeez
97.40%	0.00%	1	bd	well i was
97.40%	0.00%	1	ba	wholly smoke
97.40%	0.00%	1	b	oprah
97.40%	0.00%	1	b^m	a kiss before dying
97.40%	0.00%	1	bh	oh how about that
97.41%	0.00%	1	bh	no snow
97.41%	0.00%	1	ba	so so good luck
97.41%	0.00%	1	bf	but for all
97.41%	0.00%	1	ba	but that 's unusual
97.42%	0.00%	1	ba	good planning
97.42%	0.00%	1	ba	i am glad
97.42%	0.00%	1	ba	i bet they do
97.42%	0.00%	1	bf	notoriety
97.42%	0.00%	1	b^m	inside
97.43%	0.00%	1	b^m	silence of the lambs
97.43%	0.00%	1	ba	well good for him
97.43%	0.00%	1	b^m	four boys
97.43%	0.00%	1	bk	oh garland texas
97.43%	0.00%	1	ba	that 's a problem
97.44%	0.00%	1	bk	oh i see huh
97.44%	0.00%	1	b	it may be
97.44%	0.00%	1	ba	that 's something
97.44%	0.00%	1	ba	oh man i imagine
97.45%	0.00%	1	ba	well that 's efficient
97.45%	0.00%	1	ba	oh they do
97.45%	0.00%	1	ba	it 's good news
97.45%	0.00%	1	b^m	oh houston 's
97.45%	0.00%	1	b	really you know
97.46%	0.00%	1	bh	oh did it really
97.46%	0.00%	1	ba	oh sounds pretty
97.46%	0.00%	1	ba	uh wow mumblex
97.46%	0.00%	1	bf	it 's not
97.47%	0.00%	1	ba	it was amazing
97.47%	0.00%	1	b	oh do they really
97.47%	0.00%	1	ba	terrific
97.47%	0.00%	1	ba	it was n't bad
97.47%	0.00%	1	ba	oh i see uh-huh
97.48%	0.00%	1	bf	so now
97.48%	0.00%	1	ba	that 's fantastic exercise
97.48%	0.00%	1	bf	you mean the clocks
97.48%	0.00%	1	bf	they need some attention
97.48%	0.00%	1	ba	that 's frustrating
97.49%	0.00%	1	bf	school buses and the
97.49%	0.00%	1	br	green card
97.49%	0.00%	1	b^m	what advice
97.49%	0.00%	1	bk	b y u
97.50%	0.00%	1	ba	oh mother macree
97.50%	0.00%	1	b^m	rutherford
97.50%	0.00%	1	b^m	of co- of course
97.50%	0.00%	1	b^m	uh tex-mex uh
97.50%	0.00%	1	b^m	internal
97.51%	0.00%	1	b	one
97.51%	0.00%	1	ba	i can believe
97.51%	0.00%	1	b^m	the ninety-eight
97.51%	0.00%	1	b^m	uh cathedral ceilings
97.52%	0.00%	1	bf	somebody you trust
97.52%	0.00%	1	ba	boy well i mean
97.52%	0.00%	1	bf	that they are wanting
97.52%	0.00%	1	ba	wowie
97.52%	0.00%	1	bf	you figure
97.53%	0.00%	1	ba	that is amazing
97.53%	0.00%	1	ba	huh interesting story
97.53%	0.00%	1	ba	oh it 's terrible
97.53%	0.00%	1	ba	not too awful bad
97.53%	0.00%	1	b	both
97.54%	0.00%	1	b^m	well the dark horses
97.54%	0.00%	1	ba	because that 's great
97.54%	0.00%	1	b	oh but
97.54%	0.00%	1	b^m	two years
97.55%	0.00%	1	ba	heavens
97.55%	0.00%	1	bk	you 're a sophomore
97.55%	0.00%	1	b	mumblex oh uh-huh
97.55%	0.00%	1	ba	is n't that neat
97.55%	0.00%	1	ba	oh that 's okay
97.56%	0.00%	1	bf	do those little things
97.56%	0.00%	1	b^m	you 're twenty-nine
97.56%	0.00%	1	bf	just smelling the air
97.56%	0.00%	1	br	you have five
97.57%	0.00%	1	bh	oh are they
97.57%	0.00%	1	bf	raleigh durham
97.57%	0.00%	1	br	more lax
97.57%	0.00%	1	ba	that 's pretty close
97.57%	0.00%	1	ba	sure enough
97.58%	0.00%	1	ba	i remember
97.58%	0.00%	1	b	pop-up
97.58%	0.00%	1	b	australia
97.58%	0.00%	1	b	the twine
97.58%	0.00%	1	ba	that would be lovely
97.59%	0.00%	1	b^m	two and one
97.59%	0.00%	1	b	probably find someone
97.59%	0.00%	1	ba	oh ho-ho
97.59%	0.00%	1	ba	durn
97.60%	0.00%	1	b	oh boy
97.60%	0.00%	1	br	oh amarillo
97.60%	0.00%	1	b^m	and now
97.60%	0.00%	1	b^m	a disturbing movie
97.60%	0.00%	1	bf	oh five years ago
97.61%	0.00%	1	b	oh i
97.61%	0.00%	1	ba	that 's pretty decent
97.61%	0.00%	1	ba	oh super
97.61%	0.00%	1	ba	uh that 's great
97.62%	0.00%	1	bf	pretax insurance
97.62%	0.00%	1	ba	i could see that
97.62%	0.00%	1	bh	oh it is japanese
97.62%	0.00%	1	ba	it it certainly is
97.62%	0.00%	1	b^m	uh the big one
97.63%	0.00%	1	bh	it has
97.63%	0.00%	1	b	right um
97.63%	0.00%	1	ba	oh oh my god
97.63%	0.00%	1	ba	are you really
97.63%	0.00%	1	bk	oh from texas
97.64%	0.00%	1	ba	oh lucky you
97.64%	0.00%	1	ba	that 's rather interesting
97.64%	0.00%	1	b^m	late fifties
97.64%	0.00%	1	ba	that sucks
97.65%	0.00%	1	ba	uh strange
97.65%	0.00%	1	b	you 're a junior
97.65%	0.00%	1	br	robert de niro
97.65%	0.00%	1	br	hour and ten minutes
97.65%	0.00%	1	ba	that 's really awful
97.66%	0.00%	1	bh	oh has he
97.66%	0.00%	1	ba	goll-
97.66%	0.00%	1	bh	are they really
97.66%	0.00%	1	bk	oh we both do
97.67%	0.00%	1	b^m	just bought one
97.67%	0.00%	1	br	about weight
97.67%	0.00%	1	b	oh yea-
97.67%	0.00%	1	ba	oh mumblex really pretty
97.67%	0.00%	1	ba	the could be nice
97.68%	0.00%	1	ba	that 's very interesting
97.68%	0.00%	1	bf	uh natural disease
97.68%	0.00%	1	ba	oh my goodne-
97.68%	0.00%	1	b^m	one rotten cat
97.68%	0.00%	1	ba	it will be neat
97.69%	0.00%	1	ba	oh i can imagination
97.69%	0.00%	1	b	out of each child
97.69%	0.00%	1	bf	and then do it
97.69%	0.00%	1	ba	must be nice
97.70%	0.00%	1	ba	sounds good
97.70%	0.00%	1	bh	huh rough type huh
97.70%	0.00%	1	ba	that was smart
97.70%	0.00%	1	b	oh oh well
97.70%	0.00%	1	b	really oh
97.71%	0.00%	1	ba	oh lovely
97.71%	0.00%	1	b	yes mumblex
97.71%	0.00%	1	ba	that was good
97.71%	0.00%	1	b^m	now blacks
97.72%	0.00%	1	b^m	six seven and eight
97.72%	0.00%	1	ba	what an experience
97.72%	0.00%	1	bf	some support
97.72%	0.00%	1	ba	that gravity factor
97.72%	0.00%	1	br	oh the u s
97.73%	0.00%	1	bf	the pro
97.73%	0.00%	1	bf	well these are tough
97.73%	0.00%	1	bk	i can see that
97.73%	0.00%	1	bf	unfair or something
97.73%	0.00%	1	b^m	birmingham
97.74%	0.00%	1	ba	that 's fine
97.74%	0.00%	1	b^m	two living areas
