aggregated	self	category	text
93.46%	0.00%	1	bf	so it 'll give you room to get under it
93.46%	0.00%	1	b	hopkins
93.46%	0.00%	1	ba	oh warm
93.47%	0.00%	1	b	correct
93.47%	0.00%	1	ba	that 's pretty neat
93.47%	0.00%	1	ba	it 'd be nice
93.47%	0.00%	1	ba	well that 's not bad
93.47%	0.00%	1	ba	um that 's interesting
93.48%	0.00%	1	b^m	that
93.48%	0.00%	1	b	but i mean
93.48%	0.00%	1	br	the pitching coach
93.48%	0.00%	1	bf	you have an inside track or something
93.49%	0.00%	1	br	oh the u s
93.49%	0.00%	1	b^m	oh corpus
93.49%	0.00%	1	ba	well it sounds like a real nice one
93.49%	0.00%	1	ba	sure you know
93.49%	0.00%	1	ba	that 's good that way too
93.50%	0.00%	1	bd	that 's fine
93.50%	0.00%	1	b^m	grass
93.50%	0.00%	1	b^m	and the rangers go up a little bit
93.50%	0.00%	1	bf	two
93.50%	0.00%	1	ba	that 's good uh
93.51%	0.00%	1	ba	oh interesting
93.51%	0.00%	1	ba	but i agree with you that it 's just i call it dumping
93.51%	0.00%	1	ba	well i understand that uh
93.51%	0.00%	1	ba	oh that is not a problem anyway
93.51%	0.00%	1	b^m	to do
93.52%	0.00%	1	br	oh tom grieve
93.52%	0.00%	1	b	oh why yeah
93.52%	0.00%	1	bf	oh these
93.52%	0.00%	1	bf	dead 's dead
93.53%	0.00%	1	ba	oh is that right
93.53%	0.00%	1	ba	that would be a good idea
93.53%	0.00%	1	ba	well that 's really sad
93.53%	0.00%	1	bf	so the
93.53%	0.00%	1	bf	it 's enough space for two people
93.54%	0.00%	1	b^m	senior
93.54%	0.00%	1	ba	well i 'm glad you have that um opportunity to have your mom
93.54%	0.00%	1	ba	i do n't doubt that one bit
93.54%	0.00%	1	b	section
93.54%	0.00%	1	bf	hard
93.55%	0.00%	1	ba	well that sounds interest that sounds fun
93.55%	0.00%	1	b	and uh yep
93.55%	0.00%	1	bf	unfair or something
93.55%	0.00%	1	ba	that 'd be funny
93.55%	0.00%	1	b	but then again yeah
93.56%	0.00%	1	bf	so they 'll actually fit in the canoe
93.56%	0.00%	1	bf	just something you do everyday
93.56%	0.00%	1	b	yep uh
93.56%	0.00%	1	ba	well they are really funny fish
93.57%	0.00%	1	bk	oh very good
93.57%	0.00%	1	b^m	real pretty like a swamp
93.57%	0.00%	1	bf	it 's not
93.57%	0.00%	1	ba	i can see that would be uh easy
93.57%	0.00%	1	b^m	more fresh vegetables
93.58%	0.00%	1	ba	oh that 's a neat system
93.58%	0.00%	1	ba	oh how beautiful
93.58%	0.00%	1	bf	depends on what 's going on
93.58%	0.00%	1	ba	that 's for sure that is for sure
93.58%	0.00%	1	bh	boston
93.59%	0.00%	1	ba	oh that poor child
93.59%	0.00%	1	br	you you what
93.59%	0.00%	1	bf	so you have all the conveniences of
93.59%	0.00%	1	ba	that works
93.59%	0.00%	1	ba	oh now that 's bad
93.60%	0.00%	1	b	you too
93.60%	0.00%	1	ba	well i wish that 's all we had
93.60%	0.00%	1	bf	the humanities the history yeah
93.60%	0.00%	1	ba	i would be too
93.61%	0.00%	1	ba	that 's we that 's wild
93.61%	0.00%	1	ba	uh well qualify that
93.61%	0.00%	1	ba	nowhere near that expensive
93.61%	0.00%	1	ba	that 's crazy
93.61%	0.00%	1	ba	i would imagine they are
93.62%	0.00%	1	ba	now that 's strange
93.62%	0.00%	1	b	oh he is
93.62%	0.00%	1	bf	at least
93.62%	0.00%	1	ba	that is that is a problem uh
93.62%	0.00%	1	br	robert de niro
93.63%	0.00%	1	ba	oh hey
93.63%	0.00%	1	ba	that is amazing
93.63%	0.00%	1	bf	you ca n't iron it all
93.63%	0.00%	1	ba	that makes a lot of sense
93.63%	0.00%	1	ba	huh interesting
93.64%	0.00%	1	bf	definitely when it 's cool
93.64%	0.00%	1	bf	wel- just stick to that
93.64%	0.00%	1	bf	it 's on down the line
93.64%	0.00%	1	ba	it just really grabs your attention
93.65%	0.00%	1	ba	god i 'm envious
93.65%	0.00%	1	b^m	new hampshire
93.65%	0.00%	1	ba	sounds good
93.65%	0.00%	1	ba	well i bet you
93.65%	0.00%	1	ba	oh what would be interesting
93.66%	0.00%	1	b^m	trinity
93.66%	0.00%	1	b^m	substitute teacher
93.66%	0.00%	1	ba	tell me mumblex
93.66%	0.00%	1	bf	tex-mex tex-mex
93.66%	0.00%	1	ba	that sounds real good
93.67%	0.00%	1	b	so that worked out real good
93.67%	0.00%	1	ba	that 's good stuff
93.67%	0.00%	1	bf	you think that that 's uh pretty adequate coverage
93.67%	0.00%	1	ba	super
93.67%	0.00%	1	ba	oh what a clever idea
93.68%	0.00%	1	ba	makes good makes good sense
93.68%	0.00%	1	br	buy a wha ar you
93.68%	0.00%	1	ba	that 's that 's not a bad system
93.68%	0.00%	1	ba	oh my really
93.69%	0.00%	1	bk	oh i see huh
93.69%	0.00%	1	ba	not a thing goodness gracious
93.69%	0.00%	1	ba	oh well that 's not too bad
93.69%	0.00%	1	br	pittsburgh
93.69%	0.00%	1	ba	it really sounds like it was fun
93.70%	0.00%	1	ba	oh durn
93.70%	0.00%	1	bf	oh they thought it was too much of a bother
93.70%	0.00%	1	bf	maybe supply some arms or something
93.70%	0.00%	1	ba	i will be darn
93.70%	0.00%	1	ba	it 's right
93.71%	0.00%	1	bf	so it 's going to have kind of a country look
93.71%	0.00%	1	bf	but it sounds like you know you you learned from it
93.71%	0.00%	1	bf	clarion
93.71%	0.00%	1	b^m	those deaths
93.71%	0.00%	1	bf	oh with w p a
93.72%	0.00%	1	ba	um that 's smart
93.72%	0.00%	1	ba	well that will be interesting
93.72%	0.00%	1	ba	gee like starting over i guess
93.72%	0.00%	1	ba	they are
93.73%	0.00%	1	ba	oh that sounds delicious
93.73%	0.00%	1	bf	you have your career and your home life
93.73%	0.00%	1	br	oh you 're just live down there
93.73%	0.00%	1	bd	well that 's all right
93.73%	0.00%	1	ba	so that that 's always sounds good to me um
93.74%	0.00%	1	ba	oh that sounds the ultimate
93.74%	0.00%	1	bf	i see
93.74%	0.00%	1	bh	do they really
93.74%	0.00%	1	b^m	she 's perfect
93.74%	0.00%	1	b^m	august moon
93.75%	0.00%	1	bd	no thanks
93.75%	0.00%	1	b	make a mean spaghetti huh
93.75%	0.00%	1	bf	never
93.75%	0.00%	1	bh	you were
93.76%	0.00%	1	bf	why bother
93.76%	0.00%	1	ba	it certainly does
93.76%	0.00%	1	b	social changes
93.76%	0.00%	1	bf	apparently just uh re- re- uh probably filled the the brake fluid up
93.76%	0.00%	1	ba	oh see now that 's really nice
93.77%	0.00%	1	bh	uh-huh
93.77%	0.00%	1	ba	oh that 's good too
93.77%	0.00%	1	b	all right um um well uh
93.77%	0.00%	1	ba	it 's pretty cool
93.77%	0.00%	1	ba	oh my heavens
93.78%	0.00%	1	ba	i think that 's good
93.78%	0.00%	1	ba	uh sounds wonderful
93.78%	0.00%	1	bf	crazy
93.78%	0.00%	1	bf	it i- gets to balancing uh personal freedom against uh the general welfare
93.78%	0.00%	1	b^m	wednesday at seven thirty
93.79%	0.00%	1	ba	certainly that 's a good idea
93.79%	0.00%	1	b^m	home cooked tex-mex
93.79%	0.00%	1	b^m	eleven
93.79%	0.00%	1	bf	and you 're coming out of it all right
93.80%	0.00%	1	ba	that 's kind of bad
93.80%	0.00%	1	b^m	houston
93.80%	0.00%	1	ba	i 'm jealous
93.80%	0.00%	1	ba	oh my goodness it 's pretty
93.80%	0.00%	1	bf	hand picked
93.81%	0.00%	1	b^m	oh you do n't have time
93.81%	0.00%	1	br	you had eight boys and one girl
93.81%	0.00%	1	b^m	you 're crazy
93.81%	0.00%	1	ba	oh gol
93.81%	0.00%	1	bf	oh that was
93.82%	0.00%	1	ba	with two little kids i can understand that
93.82%	0.00%	1	ba	now that 's interesting
93.82%	0.00%	1	bf	downside um uh well
93.82%	0.00%	1	bk	oh i got you
93.82%	0.00%	1	ba	that 's a that 's a good idea
93.83%	0.00%	1	ba	this is so funny
93.83%	0.00%	1	bf	you feel like
93.83%	0.00%	1	br	pacific science
93.83%	0.00%	1	bf	i- it worked out good
93.84%	0.00%	1	b	partitions
93.84%	0.00%	1	bf	oh so she 's a little one
93.84%	0.00%	1	bf	so you do that
93.84%	0.00%	1	b^m	uh cathedral ceilings
93.84%	0.00%	1	bh	no snow
93.85%	0.00%	1	bf	oh so y- y- you get the whole smorgasbord
93.85%	0.00%	1	bd	well i do n't know
93.85%	0.00%	1	ba	well that 's uh that 's unfortunate
93.85%	0.00%	1	b^m	you 're twenty-nine
93.85%	0.00%	1	b^m	very few
93.86%	0.00%	1	br	what again
93.86%	0.00%	1	b	that happens
93.86%	0.00%	1	br	target stores
93.86%	0.00%	1	ba	well that 's efficient
93.86%	0.00%	1	bf	the greatest hits
93.87%	0.00%	1	bf	type of thing
93.87%	0.00%	1	bf	so you got a little bit of a gap there between
93.87%	0.00%	1	b	oh my
93.87%	0.00%	1	b^m	the restaurant ha-
93.88%	0.00%	1	ba	i would think it
93.88%	0.00%	1	bf	so you 're saying that the taxpayer who also is really paying through the pocketbook for the education of the child may not be quite so conscious of the fact that they are paying the tuition for that child in the form of uh real estate or other taxes
93.88%	0.00%	1	ba	i mean and that 's fine with me
93.88%	0.00%	1	bf	from the oldies but the goodies
93.88%	0.00%	1	b^m	pappasito 's
93.89%	0.00%	1	bf	and how it fits with the character right
93.89%	0.00%	1	bf	and the drugs let them come back
93.89%	0.00%	1	b^m	carry on with the abuse
93.89%	0.00%	1	bf	oh you think children
93.89%	0.00%	1	bf	uh they wish only for the paycheck
93.90%	0.00%	1	b^m	a kiss before dying
93.90%	0.00%	1	bf	so it 's sociology
93.90%	0.00%	1	bf	just the form
93.90%	0.00%	1	b	so anyway
93.90%	0.00%	1	bf	i good toe hold
93.91%	0.00%	1	br	i 'm sorry what did you say
93.91%	0.00%	1	ba	boy oh boy
93.91%	0.00%	1	bh	that 's the big thing huh
93.91%	0.00%	1	b	oh you did n't
93.92%	0.00%	1	bf	so you do quite a bit of traveling then
93.92%	0.00%	1	ba	lucky you
93.92%	0.00%	1	ba	i bet she does
93.92%	0.00%	1	bf	hack it all over the place
93.92%	0.00%	1	ba	that 's uh some pretty good ideas
93.93%	0.00%	1	ba	oh well let 's hope that you you are n't employed by that craft for too long
93.93%	0.00%	1	bf	and not being cared for
93.93%	0.00%	1	ba	oh it sounds like fun
93.93%	0.00%	1	ba	in the first grade
93.93%	0.00%	1	b	does that
93.94%	0.00%	1	b^m	thirty
93.94%	0.00%	1	bf	that was yours
93.94%	0.00%	1	ba	hey that 's pretty good
93.94%	0.00%	1	br	about music
93.94%	0.00%	1	ba	oh that 's even better
93.95%	0.00%	1	bf	survival becomes more of a priority than than education
93.95%	0.00%	1	b	probably find someone
93.95%	0.00%	1	bk	oh good
93.95%	0.00%	1	b^m	johnson city
93.96%	0.00%	1	ba	that does sound like fun
93.96%	0.00%	1	b	oh o-
93.96%	0.00%	1	ba	four
93.96%	0.00%	1	bk	oh ok-
93.96%	0.00%	1	b	ri-
93.97%	0.00%	1	bd	well i was
93.97%	0.00%	1	b	and so okay
93.97%	0.00%	1	bh	oh does she
93.97%	0.00%	1	bf	the advantages
93.97%	0.00%	1	bf	the grass
93.98%	0.00%	1	b	a while
93.98%	0.00%	1	ba	that is odd
93.98%	0.00%	1	ba	well that would be good
93.98%	0.00%	1	ba	holy cow
93.98%	0.00%	1	ba	but that 's true
93.99%	0.00%	1	bf	far north like on lake shore where all those apartments are
93.99%	0.00%	1	bh	oh you 're kidding you 're kidding
93.99%	0.00%	1	bf	so you have
93.99%	0.00%	1	ba	that sounds real interesting
94.00%	0.00%	1	ba	golly that 's that 's bad
94.00%	0.00%	1	bf	you are not right
94.00%	0.00%	1	ba	that would be wonderful in these times
94.00%	0.00%	1	b^m	sell you magazines
94.00%	0.00%	1	ba	that was so cool
94.01%	0.00%	1	bf	the the wide open the spaces
94.01%	0.00%	1	bf	so uh as you indicated you do n't have too much input into the area
94.01%	0.00%	1	ba	oh that would be wonderful
94.01%	0.00%	1	ba	yes ma'am
94.01%	0.00%	1	b	pop-up
94.02%	0.00%	1	ba	well gosh
94.02%	0.00%	1	ba	whoa okay
94.02%	0.00%	1	b^m	still
94.02%	0.00%	1	ba	wowie
94.02%	0.00%	1	bd	but it 's not a big deal
94.03%	0.00%	1	ba	i hear you there
94.03%	0.00%	1	bf	they have to for international trade
94.03%	0.00%	1	bh	oh has he
94.03%	0.00%	1	bh	is n't that great
94.04%	0.00%	1	bf	so they 're you know mumblex
94.04%	0.00%	1	b	but
94.04%	0.00%	1	bf	well it sounds like you have some pretty good experiences with uh with uh uh home repair
94.04%	0.00%	1	bh	were they
94.04%	0.00%	1	ba	oh i ca n't believe that
94.05%	0.00%	1	bh	you know what i bet you they are
94.05%	0.00%	1	b^m	now blacks
94.05%	0.00%	1	ba	that sounds about right
94.05%	0.00%	1	ba	oh fun
94.05%	0.00%	1	br	you what
94.06%	0.00%	1	bf	chris xeros
94.06%	0.00%	1	bf	so that is where davis iron works is
94.06%	0.00%	1	ba	gee nice huh
94.06%	0.00%	1	ba	but that is true
94.06%	0.00%	1	ba	that 's a big difference
94.07%	0.00%	1	bf	you say other things than sports though
94.07%	0.00%	1	ba	god it 's amazing
94.07%	0.00%	1	bf	they space it out in in the line itself
94.07%	0.00%	1	bf	relax and try to go to sleep
94.08%	0.00%	1	br	life extensions
94.08%	0.00%	1	bf	wasting all your time and effort and
94.08%	0.00%	1	bf	but your teacher had control
94.08%	0.00%	1	bh	has it
94.08%	0.00%	1	ba	well that 's unusual
94.09%	0.00%	1	bf	registering our garbage
94.09%	0.00%	1	bf	that 's very spicy too
94.09%	0.00%	1	b	oh did you
94.09%	0.00%	1	b^m	a lot different
94.09%	0.00%	1	b^m	yet
94.10%	0.00%	1	ba	oh that 's a good size
94.10%	0.00%	1	bh	oh it is japanese
94.10%	0.00%	1	b^m	warm
94.10%	0.00%	1	ba	i i know
94.10%	0.00%	1	ba	you know it makes sense um you know
94.11%	0.00%	1	bf	you mean like from the coal
94.11%	0.00%	1	bf	and that was that was simi- that was some some program where people gave their time
94.11%	0.00%	1	ba	it figures
94.11%	0.00%	1	bf	deduct yeah
94.12%	0.00%	1	ba	is n't that strange
94.12%	0.00%	1	bf	research triangle
94.12%	0.00%	1	br	tahiti
94.12%	0.00%	1	b^m	converter
94.12%	0.00%	1	ba	well that 's okay
94.13%	0.00%	1	ba	oh good luck
94.13%	0.00%	1	bf	survival of the fittest or something
94.13%	0.00%	1	bf	you have a lot good experiences from that
94.13%	0.00%	1	bf	y- so you 're saying yo- you think the judge should actually have the final say
94.13%	0.00%	1	bf	so you end up about paying about twelve dollars for a pack and two dollars of that is taxes
94.14%	0.00%	1	bf	oh so yours is mostly just a hobby too then
94.14%	0.00%	1	b	so really
94.14%	0.00%	1	b^m	our movie stars
94.14%	0.00%	1	ba	well great great
94.14%	0.00%	1	ba	oh you lucky thing
94.15%	0.00%	1	ba	oh okay great
94.15%	0.00%	1	bf	but i gather you do not separate uh the bottles and cans
94.15%	0.00%	1	b^m	acoustics uh
94.15%	0.00%	1	b^m	drug test
94.16%	0.00%	1	ba	how fine
94.16%	0.00%	1	ba	oh that is hard
94.16%	0.00%	1	b^m	but um yeah
94.16%	0.00%	1	br	what was
94.16%	0.00%	1	ba	well see that 's something else
94.17%	0.00%	1	bf	wastes your future
94.17%	0.00%	1	bh	but is n't that interesting
94.17%	0.00%	1	bf	they can leave their whole spiel on it
94.17%	0.00%	1	br	so he did n't go howl
94.17%	0.00%	1	bf	most of yours is kind of driving
94.18%	0.00%	1	bf	you so you saw a fair number of troubled kids
94.18%	0.00%	1	ba	it it it is very strange
94.18%	0.00%	1	bf	like i said it sounds like you 're you 've really got it under control
94.18%	0.00%	1	br	you mean in a one bedroom
94.18%	0.00%	1	bf	hoping that they do go to a honda dealership to get them serviced
94.19%	0.00%	1	bf	you are
94.19%	0.00%	1	ba	that 's that 's great
94.19%	0.00%	1	bf	oh you do a lot then
94.19%	0.00%	1	ba	so hey
94.20%	0.00%	1	bf	he works for t i
94.20%	0.00%	1	bf	seeing how you really are cre- are are forming this
94.20%	0.00%	1	bf	actual names
94.20%	0.00%	1	bf	from the lack of stimulation you mean
94.20%	0.00%	1	ba	uh oh no
94.21%	0.00%	1	ba	well that 's the best thing to do
94.21%	0.00%	1	ba	that 's sounds fun too
94.21%	0.00%	1	bf	oh the big company
94.21%	0.00%	1	bf	oh oh where people just just call you
94.21%	0.00%	1	b^m	jack
94.22%	0.00%	1	ba	i got you
94.22%	0.00%	1	b	you 're reading dune
94.22%	0.00%	1	bf	it works and then again it takes too long for it to work
94.22%	0.00%	1	bf	the blue flu
94.22%	0.00%	1	b^m	grumpy to begin with
94.23%	0.00%	1	ba	seriously
94.23%	0.00%	1	b^m	is done
94.23%	0.00%	1	bk	hm okay
94.23%	0.00%	1	bf	the automobile regulatory agencies or something
94.24%	0.00%	1	br	two hours where
94.24%	0.00%	1	bf	that
94.24%	0.00%	1	ba	that 's incredible too
94.24%	0.00%	1	ba	well i know
94.24%	0.00%	1	bf	that throws the budget out of whack real fast
94.25%	0.00%	1	b	right you know
94.25%	0.00%	1	b	just pets
94.25%	0.00%	1	ba	oh that 's always refreshing to get away from
94.25%	0.00%	1	b	yay
94.25%	0.00%	1	b	that bad huh
94.26%	0.00%	1	ba	call the crisis line
94.26%	0.00%	1	ba	oh is it okay
94.26%	0.00%	1	bf	like fishing and ...
94.26%	0.00%	1	bf	they 're thick
94.26%	0.00%	1	b	good self help
94.27%	0.00%	1	ba	i bet that 's a pretty nice setup
94.27%	0.00%	1	bh	you are
94.27%	0.00%	1	br	my voting experience
94.27%	0.00%	1	bf	well these are tough
94.28%	0.00%	1	b^m	not
94.28%	0.00%	1	b^m	flower mound
94.28%	0.00%	1	bf	and you have to walk right down the middle with it
94.28%	0.00%	1	ba	that could well be
94.28%	0.00%	1	ba	oh i can believe that
94.29%	0.00%	1	bf	just smelling the air
94.29%	0.00%	1	bf	oh you mean lowest end of living in spite of lower higher taxes
94.29%	0.00%	1	ba	i i think that 's great
94.29%	0.00%	1	bh	with cash
94.29%	0.00%	1	ba	it sounds wonderful
94.30%	0.00%	1	bf	so your wife
94.30%	0.00%	1	bf	you always work on trying to improve each day
94.30%	0.00%	1	ba	oh wow that 's great
94.30%	0.00%	1	ba	well it 's helpful
94.30%	0.00%	1	ba	that sucks
94.31%	0.00%	1	ba	sometimes it 's good just to have everything out on the table
94.31%	0.00%	1	bf	oh so it 's worth taking them back
94.31%	0.00%	1	ba	well that sounds great ellen
94.31%	0.00%	1	ba	so that 's interesting
94.32%	0.00%	1	bf	just change our p-
94.32%	0.00%	1	bf	oh you are
94.32%	0.00%	1	bf	donna um you said you have three children
94.32%	0.00%	1	br	where
94.32%	0.00%	1	bf	you kind of hate to
94.33%	0.00%	1	bf	for business
94.33%	0.00%	1	ba	good night
94.33%	0.00%	1	br	kentucky
94.33%	0.00%	1	bf	oh they train them to be that way then
94.33%	0.00%	1	ba	oh that sounds so pretty
94.34%	0.00%	1	br	do what now
94.34%	0.00%	1	bf	oh you went to the dollar movie
94.34%	0.00%	1	bf	gives her a little bit of her own independence
94.34%	0.00%	1	b	laurie all right
94.34%	0.00%	1	ba	oh golly
94.35%	0.00%	1	b^m	political science oh
94.35%	0.00%	1	bf	which are both kind of small
94.35%	0.00%	1	bf	sure learn a bit learn a little bit of discipline and how to care for it and things like that
94.35%	0.00%	1	b^m	and cheap
94.36%	0.00%	1	br	oh they do mumblex
94.36%	0.00%	1	ba	that 's that 's uh that 's real good
94.36%	0.00%	1	b	that that maybe true
94.36%	0.00%	1	bf	until they get over that hump
94.36%	0.00%	1	ba	oh that 's so neat
94.37%	0.00%	1	bf	so you 're from dal-
94.37%	0.00%	1	b	usually yeah
94.37%	0.00%	1	bf	with just graphics on on a
94.37%	0.00%	1	b^m	but uh yeah
94.37%	0.00%	1	ba	oh it 's amazing
94.38%	0.00%	1	bf	to go ahead and let them go
94.38%	0.00%	1	ba	well that 's fun
94.38%	0.00%	1	bf	they learn how many centimeters are in an inch
94.38%	0.00%	1	ba	well is n't that neat
94.38%	0.00%	1	b^m	amarillo
94.39%	0.00%	1	bf	so you wo n't get
94.39%	0.00%	1	bh	and uh
94.39%	0.00%	1	b	yea-
94.39%	0.00%	1	bf	he had a direct connection somewhere uh
94.40%	0.00%	1	bf	or it just builds up so often
94.40%	0.00%	1	bd	oh that 's a shame
94.40%	0.00%	1	ba	well i understand that you know mumblex
94.40%	0.00%	1	bf	and buying suits and stuff yeah because just being at home
94.40%	0.00%	1	bf	uh got to eat some different kinds of foods and meet people from a different culture
94.41%	0.00%	1	b^m	better than nothing
94.41%	0.00%	1	b	um all right
94.41%	0.00%	1	b^m	the me decade
94.41%	0.00%	1	b	two girls
94.41%	0.00%	1	b	is n't that
94.42%	0.00%	1	bk	oh from texas
94.42%	0.00%	1	b	knife
94.42%	0.00%	1	br	uh
94.42%	0.00%	1	bf	relax
94.43%	0.00%	1	b	well ye- yeah
94.43%	0.00%	1	b^m	the union
94.43%	0.00%	1	b^m	material things
94.43%	0.00%	1	bf	you 'd just do it
94.43%	0.00%	1	b	otherwise you 're just you know
94.44%	0.00%	1	b^m	in germany
94.44%	0.00%	1	bh	you know why would they do that
94.44%	0.00%	1	ba	you are right
94.44%	0.00%	1	ba	oh that that 's a remarkable number
94.44%	0.00%	1	bf	not like texas where everything comes to a stand still
94.45%	0.00%	1	ba	but golly
94.45%	0.00%	1	ba	that was smart
94.45%	0.00%	1	bh	an- oh really
94.45%	0.00%	1	bf	go out and lust after it
94.45%	0.00%	1	ba	i mean good grief what 's mumblex
94.46%	0.00%	1	ba	is n't that wonderful
94.46%	0.00%	1	bf	they they just do n't want to be drug tested
94.46%	0.00%	1	ba	well that is pretty big
94.46%	0.00%	1	b^m	uh the big one
94.47%	0.00%	1	bf	food and junk to carry out
94.47%	0.00%	1	b	i 'm i 'm sure
94.47%	0.00%	1	ba	oh it 's good
94.47%	0.00%	1	bd	oh is that what it means
94.47%	0.00%	1	bf	that is the best one
94.48%	0.00%	1	b	oh backless
94.48%	0.00%	1	b^m	it 's time to replace it
94.48%	0.00%	1	bf	that was a big savings
94.48%	0.00%	1	ba	oh oh that 's a neat idea
94.48%	0.00%	1	bf	oh it 's a it 's a lure
94.49%	0.00%	1	bh	but what about the rights of you know the rest of society
94.49%	0.00%	1	bf	well sounds like you 're getting a lot of experience in communicating with children
94.49%	0.00%	1	ba	and uh but boy
94.49%	0.00%	1	b	you are
94.49%	0.00%	1	b^m	how do you grow paper
94.50%	0.00%	1	bf	oh you do n't get to see any of yours very often
94.50%	0.00%	1	ba	oh oh i can believe that
94.50%	0.00%	1	ba	very much
94.50%	0.00%	1	bf	so you did buy a pattern and then started from there
94.51%	0.00%	1	bh	oh did it
94.51%	0.00%	1	ba	god that 's cheap
94.51%	0.00%	1	ba	uh that 's great
94.51%	0.00%	1	bf	bet they hated that
94.51%	0.00%	1	bf	magic time machine is the place you 're thinking of
94.52%	0.00%	1	bf	que- you you 're talking queen
94.52%	0.00%	1	ba	that 's that 's sad
94.52%	0.00%	1	bf	be it selling drugs or whatever
94.52%	0.00%	1	b^m	chains
94.52%	0.00%	1	ba	fantastic uh
94.53%	0.00%	1	b^m	the news
94.53%	0.00%	1	b	time uh-huh
94.53%	0.00%	1	br	argentina
94.53%	0.00%	1	ba	well that 's great be-
94.53%	0.00%	1	bf	a
94.54%	0.00%	1	ba	that 's great um
94.54%	0.00%	1	bf	do volunteer work and
94.54%	0.00%	1	ba	aye
94.54%	0.00%	1	ba	man that sounds really nice
94.55%	0.00%	1	b^m	no thanks
94.55%	0.00%	1	ba	i i know exactly what you 're saying
94.55%	0.00%	1	ba	i would n't be
94.55%	0.00%	1	b	and um yeah
94.55%	0.00%	1	b^m	a soprano
94.56%	0.00%	1	bf	so they have a toe hold
94.56%	0.00%	1	ba	oh those are fun
94.56%	0.00%	1	bf	oh it 's just that that just happens to be what the fish like this year
94.56%	0.00%	1	bf	a full time camper
94.56%	0.00%	1	b^m	choirs
94.57%	0.00%	1	bf	so if you have fresh dirt they 'll
94.57%	0.00%	1	b^m	part time
94.57%	0.00%	1	ba	oh that 's very interesting
94.57%	0.00%	1	ba	well how nice
94.57%	0.00%	1	bf	um you had real world experience in the middle there
94.58%	0.00%	1	bh	is it real
94.58%	0.00%	1	bf	find out what you know if you have been taking some kind of medication and you know if that would effect it and everything
94.58%	0.00%	1	b	oh th-
94.58%	0.00%	1	ba	i 'm sure it was
94.59%	0.00%	1	bf	well not that much though
94.59%	0.00%	1	ba	well very good
94.59%	0.00%	1	bf	so so you saw this happening in your neighborhood
94.59%	0.00%	1	b^m	type it out uh-huh
94.59%	0.00%	1	b^m	one
94.60%	0.00%	1	b^m	oh houston 's
94.60%	0.00%	1	ba	that 's very nice
94.60%	0.00%	1	ba	oh that 's okay
94.60%	0.00%	1	ba	boy well i mean
94.60%	0.00%	1	ba	well i think that 's uh easy entertainment for a
94.61%	0.00%	1	br	that 's a fish
94.61%	0.00%	1	b	a running total
94.61%	0.00%	1	ba	i 'd think so
94.61%	0.00%	1	b	golly
94.61%	0.00%	1	ba	well well that 's great
94.62%	0.00%	1	ba	that 's a smart idea
94.62%	0.00%	1	ba	and oh my god here we go
94.62%	0.00%	1	bf	you do exercise
94.62%	0.00%	1	bf	so when you turn in the cans unsmashed you 're just like reimbursed
94.63%	0.00%	1	b^m	white
94.63%	0.00%	1	b^m	on the others
94.63%	0.00%	1	ba	well that sounds real neat
94.63%	0.00%	1	bf	with all of you living so close together
94.63%	0.00%	1	ba	huh that
94.64%	0.00%	1	b	uh-huh well
94.64%	0.00%	1	br	b l y
94.64%	0.00%	1	bf	and you had trouble finding somewhere for him to be before he was five
94.64%	0.00%	1	bf	suburban tract
94.64%	0.00%	1	bf	just started shooting people
94.65%	0.00%	1	bk	okay bill
94.65%	0.00%	1	b	oh do they really
94.65%	0.00%	1	ba	you got it
94.65%	0.00%	1	ba	oh are you kidding
94.65%	0.00%	1	bf	arlington area
94.66%	0.00%	1	ba	oh what a deal
94.66%	0.00%	1	b^m	garland texas
94.66%	0.00%	1	bf	because you 'd probably be uh too puritanical
94.66%	0.00%	1	bf	even in the summer time huh
94.67%	0.00%	1	b	yeah apparently
94.67%	0.00%	1	ba	oh i 'm not surprised
94.67%	0.00%	1	ba	oh that 'd be awful
94.67%	0.00%	1	ba	oh that 's great long as it 's not raining
94.67%	0.00%	1	br	you 're supposed to what
94.68%	0.00%	1	ba	i bet they do
94.68%	0.00%	1	br	service charge you mean
94.68%	0.00%	1	bf	sounds like he that you were right
94.68%	0.00%	1	bh	my word is n't that sorry
94.68%	0.00%	1	b	oh mumblex yeah
94.69%	0.00%	1	ba	oh that would be a mess
94.69%	0.00%	1	ba	forget it
94.69%	0.00%	1	ba	oh how sweet
94.69%	0.00%	1	bf	based on fact
94.69%	0.00%	1	bf	and sometimes it might be the picnic out back
94.70%	0.00%	1	bh	would they
94.70%	0.00%	1	b^m	arkansas
94.70%	0.00%	1	b^m	two dogs
94.70%	0.00%	1	b^m	families
94.71%	0.00%	1	ba	gorgeous
94.71%	0.00%	1	ba	it it 's sad
94.71%	0.00%	1	bf	instead of being completely penned up
94.71%	0.00%	1	b	so oh well
94.71%	0.00%	1	b^m	the air bags
94.72%	0.00%	1	bf	you want to buy american
94.72%	0.00%	1	ba	it 's a good idea
94.72%	0.00%	1	br	what was that
94.72%	0.00%	1	bf	it 's been a while since they 've uh gone through the barbie stuff mumblex
94.72%	0.00%	1	bf	that you ca n't you ca n't remove the jury regardless of the case
94.73%	0.00%	1	ba	doing it
94.73%	0.00%	1	b^m	twenty bucks a whack now
